Name,ScorePct,Score,Price,
GeForce RTX 4090, (86%),39619,1599.99,
GeForce RTX 4080, (77%),35373,1149.99,
Radeon RX 7900 XTX, (70%),32083,979.99,
GeForce RTX 4070 Ti, (70%),32003,799.99,
GeForce RTX 4090 Laptop GPU, (67%),30681,NA,
GeForce RTX 3090 Ti, (65%),29873,2159.99*,
Radeon RX 7900 XT, (64%),29480,785.85,
Radeon RX 6950 XT, (64%),29239,629.99,
GeForce RTX 4080 Laptop GPU, (60%),27586,NA,
GeForce RTX 3080 Ti, (60%),27456,1143.99,
Radeon RX 6900 XT, (59%),27034,580.74,
GeForce RTX 3090, (59%),26982,1762.99,
GeForce RTX 3080 12GB, (58%),26860,NA,
GeForce RTX 4070, (58%),26623,599.99,
GeForce RTX 3080, (55%),25443,929.99,
Radeon RX 6800 XT, (55%),25087,509.99,
GeForce RTX 3070 Ti, (52%),23846,519.99,
RTX A5000, (51%),23376,2141.99*,
RTX A6000, (49%),22607,4673.98,
GeForce RTX 3070, (49%),22510,499.99,
Radeon RX 6800, (49%),22477,426.99,
GeForce RTX 2080 Ti, (48%),21884,1124.99*,
Radeon RX 6750 XT, (47%),21594,379.99,
RTX 6000 Ada Generation, (46%),21071,NA,
RTX A4500, (45%),20828,1079.99*,
GeForce RTX 3060 Ti, (45%),20640,379.99,
NVIDIA A10, (45%),20591,NA,
GeForce RTX 3080 Ti Laptop GPU, (44%),20469,NA,
RTX 5000 Ada Generation Laptop GPU, (44%),20404,NA,
TITAN V, (43%),19920,1999.99*,
Radeon RX 6700 XT, (43%),19909,349.99,
TITAN RTX, (43%),19896,2794.99*,
GeForce RTX 4070 Laptop GPU, (43%),19739,NA,
Radeon PRO W6800, (43%),19596,1849.99*,
GeForce RTX 2080 SUPER, (42%),19587,740.99*,
GeForce RTX 4060 Laptop GPU, (42%),19516,NA,
RTX 4000 SFF Ada Generation, (42%),19400,NA,
Quadro RTX 8000, (42%),19398,4741.49*,
Quadro GV100, (42%),19325,8999.00*,
TITAN Xp COLLECTORS EDITION, (42%),19304,NA,
