Type,Name,ScorePct,X-Platform-Score,
Desktop,AMD Ryzen Threadripper 3970X,(86%),170342,
Desktop,AMD Ryzen 9 7950X,(74%),146549,
Desktop,AMD Ryzen 9 7900X,(58%),114229,
Desktop,AMD Ryzen 9 5950X,(50%),99317,
Desktop,AMD Ryzen 9 3950X,(44%),86556,
Desktop,AMD Ryzen 9 5900X,(41%),81999,
Desktop,AMD Ryzen 7 7700X,(37%),73993,
Desktop,AMD Ryzen 9 3900XT,(34%),67317,
Desktop,AMD Ryzen 9 3900X,(34%),66881,
Desktop,AMD Ryzen 7 5800X,(27%),53159,
Desktop,AMD Ryzen 7 5800X3D,(26%),52038,
Desktop,AMD Ryzen 7 5700X,(26%),51622,
Desktop,Intel Core i9-10900K @ 3.70GHz,(25%),50026,
Desktop,Intel Core i9-11900K @ 3.50GHz,(25%),49325,
Desktop,Intel Core i9-10850K @ 3.60GHz,(25%),49122,
Desktop,Intel Core i7-11700K @ 3.60GHz,(24%),47953,
Laptop,Intel Core i7-11800H @ 2.30GHz,(23%),45370,
Desktop,AMD Ryzen 7 5700G,(23%),45233,
Desktop,AMD Ryzen 7 3800X,(22%),43691,
Desktop,AMD Ryzen 7 3700X,(21%),42914,
Laptop,AMD Ryzen 7 6800H,(21%),41783,
Desktop,AMD Ryzen 5 5600X,(21%),41704,
Desktop,Intel Core i7-11700F @ 2.50GHz,(21%),41615,
Laptop,AMD Ryzen 9 5900HX,(20%),41021,
Desktop,AMD Ryzen 5 5600,(20%),40980,
Desktop,Intel Core i7-10700K @ 3.80GHz,(20%),40037,
Desktop,Intel Core i7-10700KF @ 3.80GHz,(20%),39812,
Laptop,AMD Ryzen 7 5800H,(19%),38804,
Desktop,Intel Core i9-9900KF @ 3.60GHz,(19%),38651,
Desktop,Intel Core i9-9900K @ 3.60GHz,(19%),38479,
Desktop,Intel Core i5-12400F,(18%),37000,
Desktop,Intel Core i5-12400,(18%),36853,
Desktop,Intel Core i5-11600K @ 3.90GHz,(18%),36203,
Desktop,Intel Core i7-10700F @ 2.90GHz,(18%),36131,
iOS,Apple iPad144,(18%),36068,
Desktop,Intel Core i7-10700 @ 2.90GHz,(18%),36047,
Desktop,AMD Ryzen 5 5600G,(18%),35786,
iOS,Apple iPad143,(18%),35720,
iOS,Apple iPad145,(18%),35645,
iOS,Apple iPad146,(18%),35387,
Desktop,AMD Ryzen 5 5500,(17%),35158,
Desktop,AMD Ryzen 5 3600XT,(17%),34768,
Desktop,AMD Ryzen 5 3600X,(17%),33659,
iOS,Apple iPad Pro 12.9 3nd Gen (WiFi 6GB RAM),(16%),33114,
Desktop,AMD Ryzen 7 2700X,(16%),33042,
Desktop,AMD Ryzen 5 3600,(16%),32820,
Laptop,Intel Core i7-10875H @ 2.30GHz,(16%),32580,
Desktop,Intel Core i5-11400F @ 2.60GHz,(16%),32142,
Desktop,Intel Core i5-11400 @ 2.60GHz,(16%),32060,
Laptop,Intel Core i5-11400H @ 2.70GHz,(16%),31791,
iOS,Apple iPad Pro 11.0 3rd Gen (Cellular),(15%),31279,
iOS,Apple iPad Air 5 (WiFi),(15%),31274,
iOS,Apple iPad Pro 12.9 5th Gen (Cellular),(15%),31189,
iOS,Apple iPad Pro 12.9 5th Gen (WiFi),(15%),31185,
Laptop,AMD Ryzen 5 5600H,(15%),31159,
iOS,Apple iPad Pro 11.0 3rd Gen (WiFi),(15%),31080,
Desktop,AMD Ryzen 7 2700,(14%),29193,
iOS,Apple iPad Air 5 (Cellular),(14%),29183,
Desktop,Intel Core i5-10600K @ 4.10GHz,(14%),28745,
Desktop,AMD Ryzen 7 1700,(14%),27446,
Desktop,Intel Core i7-8700K @ 3.70GHz,(13%),27160,
Desktop,Intel Core i7-9700K @ 3.60GHz,(13%),26969,
Desktop,AMD Ryzen 5 2600X,(13%),26756,
Laptop,AMD Ryzen 7 4800H,(13%),26438,
Desktop,Intel Core i3-12100F,(13%),25811,
Desktop,Intel Core i7-8700 @ 3.20GHz,(13%),25750,
Desktop,AMD Ryzen 5 2600,(12%),25302,
Desktop,AMD Ryzen 5 3500X,(12%),25298,
Desktop,Intel Core i7-9700 @ 3.00GHz,(12%),24752,
Desktop,Intel Core i5-10400F @ 2.90GHz,(12%),24636,
Desktop,Intel Core i5-10400 @ 2.90GHz,(12%),24542,
Laptop,Intel Core i7-10750H @ 2.60GHz,(12%),24540,
Desktop,AMD Ryzen 5 1600,(12%),23569,
Android,Google brya,(11%),23151,
iOS,Apple iPhone 14 Pro,(11%),23028,
iOS,Apple iPhone 14 Pro Max,(11%),22957,
Laptop,AMD Ryzen 7 5700U,(11%),22916,
Laptop,Intel Core i7-9750H @ 2.60GHz,(11%),22431,
Android,Samsung SM-S916U,(11%),22139,
Android,OnePlus CPH2451,(11%),21631,
Android,Samsung Galaxy S23 Ultra,(11%),21592,
Laptop,AMD Ryzen 7 4700U,(10%),21503,
Laptop,AMD Ryzen 5 4600H,(10%),21296,
Android,Samsung Galaxy S23,(10%),21260,
Android,OnePlus CPH2449,(10%),21242,
iOS,Apple iPhone 13 Pro Max,(10%),21096,
iOS,Apple iPhone 13 Pro,(10%),21077,
iOS,Apple iPhone 14,(10%),21059,
iOS,Apple iPhone 14 Plus,(10%),20901,
