Name,ScorePct,Score,Price,
Intel Xeon Platinum 8180 @ 2.50GHz,24%,35208,5945.00,
Intel Xeon Gold 6242R @ 3.10GHz,24%,34963,2000.00,
Intel Core i9-12900,24%,34864,538.10,
Intel Core i7-12700K,24%,34792,409.00*,
AMD Ryzen 9 5900,23%,34568,
Intel Core i7-12700KF,23%,34565,276.99,
AMD Ryzen 9 PRO 5945,23%,34271,
Intel Xeon Gold 6230R @ 2.10GHz,23%,34145,1399.12,
Intel Xeon Platinum 8260M @ 2.30GHz,23%,33970,7705.00*,
Intel Xeon D-2799 @ 2.40GHz,23%,33792,1933.00*,
Intel Core i7-12800HX,23%,33572,457.00*,
AMD Ryzen Threadripper PRO 3945WX,23%,33431,
Intel Xeon Gold 5220R @ 2.20GHz,23%,33370,1478.00,
Intel Xeon Platinum 8259CL @ 2.50GHz,22%,33279,
Intel Core i9-10980XE @ 3.00GHz,22%,33076,979.00,
Intel Core i7-13650HX,22%,33004,485.00*,
Intel Core i9-13900H,22%,32976,617.00*,
Intel Xeon Gold 6278C @ 2.60GHz,22%,32835,
Intel Core i5-13500,22%,32830,249.98,
AMD Ryzen 9 3900XT,22%,32821,424.95,
Intel Core i9-12950HX,22%,32796,590.00*,
AMD Ryzen 9 3900X,22%,32733,259.99,
AMD EPYC 7302,22%,32691,567.68,
Intel Xeon Platinum 8168 @ 2.70GHz,22%,32616,2450.00,
AMD EPYC 7302P,22%,32543,849.99,
Intel Core i5-13600,22%,32354,255.00*,
Intel Core i9-9980XE @ 3.00GHz,22%,32263,1174.01,
AMD Ryzen Threadripper 2990WX,22%,32091,2998.95,
Intel Xeon W-3265M @ 2.70GHz,22%,32025,6353.00*,
Intel Core i7-13700HX,22%,31983,485.00*,
Intel Xeon Platinum 8173M @ 2.00GHz,21%,31837,
Intel Xeon Gold 5318Y @ 2.10GHz,21%,31695,1361.00*,
Intel Xeon Platinum 8268 @ 2.90GHz,21%,31632,6005.98*,
Intel Core i9-12900E,21%,31530,
AMD Ryzen 9 PRO 3900,21%,31446,
Intel Core i9-12900T,21%,31356,489.00*,
Intel Core i7-12700,21%,31178,325.00,
Intel Xeon W-2295 @ 3.00GHz,21%,31102,1670.26,
Intel Core i7-12700F,21%,31100,289.99,
AMD EPYC 7371,21%,31094,609.99,
Intel Core i7-13800H,21%,30724,457.00*,
AMD Ryzen 9 3900,21%,30681,504.15,
Intel Xeon Platinum 8171M @ 2.60GHz,21%,30632,
Intel Core i7-13700H,21%,30597,502.00*,
AMD EPYC Embedded 7292P,21%,30542,
Intel Xeon Gold 6246R @ 3.40GHz,21%,30468,2248.68,
Intel Core i7-12850HX,20%,30375,428.00*,
Intel Core i9-7980XE @ 2.60GHz,20%,30369,876.32,
Intel Core i9-9960X @ 3.10GHz,20%,30354,1600.00,
Intel Core i7-13700T,20%,30304,384.00*,
Intel Core i9-9990XE @ 4.00GHz,20%,30162,2163.00*,
Intel Xeon W-3265 @ 2.70GHz,20%,30105,4551.37*,
Intel Xeon W-3245 @ 3.20GHz,20%,30045,2683.99*,
AMD Ryzen Threadripper 2970WX,20%,30011,1109.00,
Intel Core i7-12800HE,20%,29805,506.00*,
Intel Xeon Gold 6248 @ 2.50GHz,20%,29504,1784.00,
AMD EPYC 7282,20%,29489,619.61,
Intel Xeon Gold 6154 @ 3.00GHz,20%,29488,2193.00,
Intel Core i5-13500T,20%,29421,232.00*,
AMD Ryzen Threadripper 2950X,20%,29370,1011.33,
Intel Xeon Platinum 8260 @ 2.40GHz,20%,29360,3245.00,
Intel Xeon Gold 6254 @ 3.10GHz,20%,29356,2695.88,
Intel Xeon Silver 4314 @ 2.40GHz,20%,29347,719.10,
Intel Core i9-12900H,20%,29058,617.00*,
Intel Xeon Gold 6148 @ 2.40GHz,19%,28982,399.00,
Intel Xeon Gold 6210U @ 2.50GHz,19%,28915,2552.89,
Intel Xeon W-2191B @ 2.30GHz,19%,28815,
AMD Ryzen 5 7600X,19%,28784,249.99,
Intel Core i9-12900HK,19%,28628,635.00*,
Intel Xeon Gold 6253CL @ 3.10GHz,19%,28549,
AMD Ryzen 7 7840HS,19%,28429,
Intel Core i9-9940X @ 3.30GHz,19%,28402,849.99,
Intel Core i7-12700E,19%,28292,344.00*,
AMD EPYC 7401P,19%,28282,258.30,
Intel Xeon W-2195 @ 2.30GHz,19%,28180,1983.82*,
ARM Neoverse-N1 64 Core 0 MHz,19%,28079,
AMD Ryzen 7 5800X,19%,28078,212.65,
Intel Xeon W-2275 @ 3.30GHz,19%,28037,2058.00*,
Intel Core i9-10940X @ 3.30GHz,19%,28034,720.89,
AMD Ryzen 7 5800X3D,19%,27995,319.00,
Intel Core i5-12600K,19%,27815,228.36,
AMD Ryzen Threadripper 1950X,19%,27771,694.65*,
AMD Ryzen 5 7600,19%,27757,229.00,
Intel Xeon Gold 6238 @ 2.10GHz,19%,27617,1495.95*,
Intel Xeon W-3245M @ 3.20GHz,18%,27503,5002.00*,
Intel Xeon Gold 6212U @ 2.40GHz,18%,27470,2000.00*,
AMD EPYC 7571,18%,27445,
Intel Core i5-12600KF,18%,27436,213.82,
Intel Xeon Gold 5317 @ 3.00GHz,18%,27402,978.75,
Intel Xeon Platinum 8124M @ 3.00GHz,18%,27336,
AMD EPYC 72F3,18%,27252,2800.11,
Intel Xeon Gold 6252 @ 2.10GHz,18%,27148,3103.14,
Intel Core i5-13600T,18%,27143,255.00*,
Intel Xeon Gold 6226R @ 2.90GHz,18%,27092,1099.31,
Intel Xeon Gold 6208U @ 2.90GHz,18%,27085,837.89,
Intel Core i9-7960X @ 2.80GHz,18%,27016,365.53,
Intel Xeon Gold 6230 @ 2.10GHz,18%,26888,1890.00,
AMD Ryzen 7 5700X,18%,26826,189.00,
AMD Ryzen 7 PRO 5845,18%,26777,
Intel Core i7-12700H,18%,26739,457.00*,
Intel Xeon Platinum 8175M @ 2.50GHz,18%,26659,
Intel Xeon Platinum 8160 @ 2.10GHz,18%,26485,2860.00,
AMD Ryzen Threadripper 2990X,18%,26469,
Apple M2 Pro 12 Core 3480 MHz,18%,26457,
AMD EPYC 7272,18%,26446,620.00,
Intel Core i9-10920X @ 3.50GHz,18%,26360,699.99,
Intel Core i9-7940X @ 3.10GHz,18%,26334,590.00,
