Name,ScorePct,Score,Price,
AMD EPYC 9654,86%,126045,6978.00,
AMD EPYC 9474F,68%,99068,
AMD Ryzen Threadripper PRO 5995WX,67%,97224,5935.82,
AMD EPYC 7773X,62%,90731,3599.00,
AMD EPYC 7763,59%,85915,2587.00,
AMD EPYC 7J13,59%,85661,
AMD EPYC 7713,58%,85165,3669.99,
AMD EPYC 7713P,57%,83439,4550.00,
AMD Ryzen Threadripper PRO 3995WX,57%,83336,7062.74,
AMD EPYC 7V13,57%,82878,
AMD Ryzen Threadripper 3990X,55%,81103,4892.00,
AMD EPYC 9354P,54%,79341,
AMD EPYC 7B13,53%,77460,
AMD EPYC 7643,52%,76455,4550.00*,
AMD Ryzen Threadripper PRO 5975WX,52%,76051,2894.00,
AMD EPYC 7T83,51%,74892,
AMD EPYC 7662,50%,73143,3999.99*,
Intel Xeon w9-3475X,48%,70850,3739.00*,
AMD EPYC 7702,48%,70618,1187.00,
AMD EPYC 75F3,47%,68505,4999.00,
AMD EPYC 7543P,46%,67081,2350.00*,
AMD Ryzen Threadripper PRO 5965WX,45%,66491,2099.00,
AMD EPYC 7742,45%,65629,2098.00,
AMD EPYC 7R32,44%,64727,
AMD Ryzen 9 7950X3D,44%,63937,699.00,
AMD Ryzen 9 7950X,43%,63634,574.44,
AMD Ryzen Threadripper 3970X,43%,63434,2389.37,
AMD Ryzen Threadripper PRO 3975WX,43%,62986,2992.68,
Intel Core i9-13900KS,43%,62576,999.99,
Intel Xeon Platinum 8380 @ 2.30GHz,42%,62318,8978.00*,
AMD EPYC 7702P,42%,62007,2270.00,
AMD EPYC 7642,42%,61573,1185.00,
Intel Xeon w7-2495X,42%,60922,2189.00*,
AMD EPYC 74F3,41%,60577,3047.00,
Intel Core i9-13900K,41%,60036,569.97,
AMD EPYC 7513,41%,59988,2840.00*,
Intel Core i9-13900KF,41%,59600,548.99,
Intel Xeon W-3375 @ 2.50GHz,40%,59069,4499.00*,
Intel Xeon W-3365 @ 2.70GHz,40%,59038,3851.00*,
AMD Ryzen 9 7945HX,40%,58501,
AMD EPYC 7443P,39%,57685,1683.99*,
Intel Xeon Gold 5420+,39%,57593,1848.00*,
Intel Xeon Gold 6414U,39%,57200,2296.00*,
AMD EPYC 7542,39%,56728,1289.92,
AMD EPYC 7543,39%,56562,3761.00*,
AMD Ryzen Threadripper 3960X,37%,54793,1492.00,
AMD EPYC 7532,37%,54670,2096.49,
Intel Xeon Platinum 8358 @ 2.60GHz,37%,54416,5097.75*,
AMD EPYC 7443,37%,53770,2230.99*,
AMD Ryzen 9 7900X,36%,52452,418.80,
Intel Xeon Gold 6348 @ 2.60GHz,36%,52276,2098.90,
Intel Xeon Platinum 8375C @ 2.90GHz,35%,51836,
AMD Ryzen 9 7900X3D,35%,51317,575.99,
Intel Core i9-13900F,35%,51018,529.99,
Intel Xeon Gold 6314U @ 2.30GHz,35%,51014,2782.00*,
AMD EPYC 7413,34%,50223,1997.99*,
AMD EPYC 7453,34%,50209,1869.86,
AMD EPYC 7502P,34%,49748,1697.91,
Intel Core i9-13900,34%,49675,549.99,
AMD Ryzen Threadripper PRO 5955WX,34%,49388,1172.42,
Intel Xeon Platinum 8347C @ 2.10GHz,34%,49386,
AMD Ryzen 9 7900,34%,49317,419.99,
AMD EPYC 7502,33%,49178,972.00,
Intel Core i9-13980HX,33%,49093,668.00*,
AMD EPYC 7R12,33%,48934,
Intel Xeon W-3345 @ 3.00GHz,33%,48261,2499.00*,
AMD EPYC 7402,32%,47668,1497.00,
Intel Xeon Gold 6342 @ 2.80GHz,32%,47320,3272.00*,
Intel Core i7-13700K,32%,47018,399.99,
AMD Ryzen 9 7845HX,32%,46878,
Intel Core i7-13700KF,32%,46798,390.98,
Intel Xeon Gold 6338N @ 2.20GHz,32%,46583,4671.69*,
Intel Core i9-13900HX,31%,46354,668.00*,
ARM Neoverse-N1 128 Core 3000 MHz,31%,46271,
AMD EPYC 73F3,31%,46085,3966.34,
AMD Ryzen 9 5950X,31%,45915,469.99,
AMD EPYC 7343,31%,45908,1699.99*,
Intel Core i9-13900T,31%,45649,549.00*,
Intel Xeon Gold 6336Y @ 2.40GHz,31%,45517,1928.97,
Intel Xeon W-3275 @ 2.50GHz,30%,44820,4894.00*,
Intel Core i9-13950HX,30%,44435,590.00*,
Intel Core i9-12900KS,30%,44363,477.97,
Intel Xeon Gold 6312U @ 2.40GHz,30%,43710,1809.59*,
ARM Neoverse-N1 128 Core 2800 MHz,29%,43111,
Intel Xeon Gold 6330 @ 2.00GHz,29%,43056,1312.00,
AMD EPYC 7402P,29%,42245,1290.00,
AMD EPYC 7601,29%,42244,878.53,
Intel Core i7-13700F,29%,42080,362.99,
AMD EPYC 7313P,29%,42057,913.00*,
AMD EPYC 7452,28%,41871,1350.00,
Intel Core i9-12900K,28%,41595,395.99,
Intel Xeon Gold 6354 @ 3.00GHz,28%,41445,2757.99*,
Intel Core i9-12900KF,28%,41405,398.00,
AMD EPYC 7352,28%,41281,945.00,
AMD EPYC 7F52,28%,41023,3100.00*,
Apple M1 Ultra 20 Core,28%,40943,
Intel Xeon Platinum 8275CL @ 3.00GHz,28%,40794,
AMD Ryzen Threadripper PRO 5945WX,28%,40785,
AMD EPYC 7313,28%,40605,1261.48,
AMD EPYC 7K62,27%,40487,
AMD Ryzen Threadripper PRO 3955WX,27%,40269,1097.09,
AMD EPYC 7551P,27%,40146,367.92,
Intel Xeon W-3275M @ 2.50GHz,27%,39979,7453.00*,
Intel Xeon W-3335 @ 3.40GHz,27%,39317,1299.00*,
AMD Ryzen 9 5900X,27%,39304,325.73,
Intel Core i7-13700,27%,39160,349.99,
AMD Ryzen 9 3950X,26%,38982,575.00,
Intel Xeon Gold 6248R @ 3.00GHz,26%,38604,2330.44,
Intel Core i5-13600K,26%,38508,315.99,
Intel Core i5-13600KF,26%,38387,293.99,
Intel Core i7-13700T,26%,37790,384.00*,
Intel Xeon Gold 6346 @ 3.10GHz,26%,37722,1622.80,
Intel Xeon Gold 5320 @ 2.20GHz,25%,37558,1841.45,
Intel Xeon Gold 6238R @ 2.20GHz,25%,37511,2395.30,
Intel Core i9-12900F,25%,37346,469.99,
Intel Xeon Silver 4316 @ 2.30GHz,25%,37264,930.00,
Intel Xeon W-3175X @ 3.10GHz,25%,37167,3051.56,
Intel Core i7-13850HX,25%,36938,428.00*,
AMD Ryzen 7 7700X,25%,36557,339.00,
ARM Neoverse-N1 80 Core 3000 MHz,25%,36400,
Intel Xeon Gold 5416S,25%,36391,944.00*,
AMD EPYC 7D12,24%,36134,
AMD Ryzen 7 7700,24%,35658,319.79,
Intel Core i7-13700HX,24%,35643,485.00*,
Intel Core i9-12900HX,24%,35480,606.00*,
Intel Xeon Gold 6326 @ 2.90GHz,24%,35224,1400.00,
Intel Xeon Platinum 8180 @ 2.50GHz,24%,35208,5897.95,
AMD Ryzen 7 7800X3D,24%,35054,449.00,
Intel Xeon Gold 6242R @ 3.10GHz,24%,34963,1990.00,
Intel Core i7-12700K,24%,34791,409.00*,
AMD Ryzen 9 PRO 5945,23%,34732,
Intel Core i9-12900,23%,34707,489.99,
Intel Core i7-12700KF,23%,34611,288.99,
AMD Ryzen 9 5900,23%,34586,
Intel Xeon Gold 6230R @ 2.10GHz,23%,34183,1400.00,
Intel Core i5-13600,23%,33998,255.00*,
Intel Xeon Platinum 8260M @ 2.30GHz,23%,33970,7705.00*,
Intel Xeon D-2799 @ 2.40GHz,23%,33792,1933.00*,
AMD Ryzen Threadripper PRO 3945WX,23%,33449,
Intel Core i7-12800HX,23%,33373,457.00*,
Intel Xeon Gold 5220R @ 2.20GHz,23%,33370,1320.00,
Intel Xeon Gold 5318Y @ 2.10GHz,22%,33283,1698.67,
Intel Xeon Platinum 8259CL @ 2.50GHz,22%,33279,
Intel Core i9-12950HX,22%,33054,590.00*,
Intel Core i9-10980XE @ 3.00GHz,22%,32977,950.00,
Intel Xeon Gold 6278C @ 2.60GHz,22%,32835,
Intel Core i7-13650HX,22%,32825,485.00*,
Intel Core i5-13500,22%,32816,247.98,
AMD Ryzen 9 3900XT,22%,32791,380.00,
Intel Xeon Platinum 8280 @ 2.70GHz,22%,32781,4396.03,
AMD Ryzen 9 3900X,22%,32729,218.97,
AMD EPYC 7302,22%,32691,954.41,
AMD EPYC 7302P,22%,32625,799.00,
Intel Xeon Platinum 8168 @ 2.70GHz,22%,32606,2292.00,
AMD Ryzen Threadripper 2990WX,22%,32129,2199.00,
Intel Core i9-9980XE @ 3.00GHz,22%,32048,1093.00,
Intel Xeon W-3265M @ 2.70GHz,22%,32025,6353.00*,
Intel Xeon Platinum 8173M @ 2.00GHz,21%,31837,
Intel Xeon Platinum 8268 @ 2.90GHz,21%,31632,6005.98*,
Intel Core i9-12900E,21%,31530,
Intel Core i9-13900H,21%,31516,617.00*,
Intel Core i9-12900T,21%,31515,489.00*,
Intel Core i5-13600HX,21%,31439,284.00*,
AMD Ryzen 9 PRO 3900,21%,31337,
Intel Core i7-12700F,21%,31188,321.74,
Intel Core i7-12700,21%,31129,323.99,
AMD EPYC 7371,21%,31094,609.99,
Intel Xeon W-2295 @ 3.00GHz,21%,30739,1670.26,
AMD Ryzen 9 3900,21%,30726,504.15*,
Intel Xeon Platinum 8171M @ 2.60GHz,21%,30632,
AMD EPYC Embedded 7292P,21%,30542,
Intel Xeon Gold 6246R @ 3.40GHz,21%,30468,2163.23,
Intel Core i9-9960X @ 3.10GHz,20%,30354,1447.90,
Intel Xeon W-3245 @ 3.20GHz,20%,30308,2683.99*,
Intel Core i9-7980XE @ 2.60GHz,20%,30305,791.77,
Intel Core i7-12850HX,20%,30260,428.00*,
